epoch,lr,train_bce,train_dice,train_loss,val_bce,val_dice,val_loss
0,0.0001,0.684732,0.990638,0.837685,0.672909,0.990806,0.831858
1,0.0001,0.668167,0.990622,0.829394,0.660419,0.990816,0.825618
2,0.0001,0.654435,0.990636,0.822536,0.642182,0.990822,0.816502
3,0.0001,0.630712,0.990637,0.810675,0.606597,0.99081,0.798703
4,0.0001,0.582665,0.990644,0.786654,0.527365,0.990879,0.759122
5,0.0001,0.457138,0.990961,0.724049,0.27183,0.992407,0.632118
6,0.0001,0.156774,0.994769,0.575772,0.147975,0.994624,0.5713
7,0.0001,0.108391,0.995101,0.551746,0.050856,0.996136,0.523496
8,0.0001,0.045231,0.995064,0.520147,0.041853,0.992835,0.517344
9,0.0001,0.041194,0.991586,0.51639,0.037326,0.990379,0.513853
10,0.0001,0.035138,0.989796,0.512467,0.031703,0.989203,0.510453
11,0.0001,0.030847,0.987082,0.508965,0.028963,0.983079,0.506021
12,0.0001,0.028784,0.977786,0.503285,0.028116,0.970848,0.499482
13,0.0001,0.027804,0.964168,0.495986,0.025664,0.955364,0.490514
14,0.0001,0.02422,0.944969,0.484595,0.021258,0.929298,0.475278
15,0.0001,0.020547,0.914608,0.467577,0.018939,0.894197,0.456568
16,0.0001,0.018794,0.879797,0.449296,0.018032,0.860683,0.439357
17,0.0001,0.018326,0.847226,0.432776,0.01808,0.828794,0.423437
18,0.0001,0.017839,0.816536,0.417188,0.017184,0.802175,0.40968
19,0.0001,0.017258,0.793093,0.405175,0.017461,0.784613,0.401037
20,0.0001,0.017787,0.777048,0.397418,0.017823,0.771206,0.394515
21,0.0001,0.017983,0.762833,0.390408,0.018114,0.753563,0.385838
22,0.0001,0.018249,0.744879,0.381564,0.019178,0.7355,0.377339
23,0.0001,0.019606,0.724331,0.371968,0.020588,0.713199,0.366894
24,0.0001,0.02113,0.698758,0.359944,0.022043,0.683354,0.352698
25,0.0001,0.022993,0.666949,0.344971,0.023569,0.651387,0.337478
26,0.0001,0.023747,0.637653,0.3307,0.023566,0.626067,0.324817
27,0.0001,0.023714,0.614576,0.319145,0.02305,0.607234,0.315142
28,0.0001,0.023476,0.597392,0.310434,0.023298,0.592452,0.307875
29,1e-05,0.023369,0.587025,0.305197,0.022804,0.590675,0.306739
30,1e-05,0.022866,0.585296,0.304081,0.022251,0.588973,0.305612
31,1e-05,0.022471,0.584388,0.303429,0.022024,0.587451,0.304738
32,1e-05,0.022333,0.582725,0.302529,0.02212,0.58589,0.304005
33,1e-05,0.022541,0.580894,0.301718,0.022428,0.584024,0.303226
34,1e-05,0.02273,0.579022,0.300876,0.022406,0.582397,0.302402
35,1e-05,0.022682,0.577469,0.300076,0.022206,0.580764,0.301485
36,1e-05,0.02235,0.576152,0.299251,0.02176,0.579496,0.300628
37,1e-05,0.022098,0.574769,0.298434,0.021794,0.577635,0.299715
38,1e-05,0.022065,0.573056,0.297561,0.021703,0.576013,0.298858
39,1e-05,0.022093,0.571342,0.296717,0.02175,0.574206,0.297978
40,1e-05,0.022047,0.569658,0.295853,0.021641,0.572549,0.297095
41,1e-05,0.02192,0.568117,0.295019,0.021437,0.570698,0.296067
42,1e-05,0.021836,0.566347,0.294092,0.021442,0.568838,0.29514
43,1e-05,0.021782,0.564567,0.293174,0.021339,0.566981,0.29416
44,1e-05,0.021768,0.562711,0.292239,0.021418,0.56482,0.293119
45,1e-05,0.021704,0.560857,0.29128,0.021325,0.562597,0.291961
46,1e-05,0.021796,0.558715,0.290256,0.021186,0.560445,0.290815
47,1e-05,0.021657,0.556797,0.289227,0.021405,0.557887,0.289646
48,1e-05,0.021812,0.554378,0.288095,0.021,0.556048,0.288524
49,1e-05,0.02155,0.552492,0.287021,0.021573,0.55321,0.287391
50,1e-05,0.02191,0.549962,0.285936,0.020893,0.551276,0.286084
51,1e-05,0.02163,0.547942,0.284786,0.021696,0.548107,0.284901
52,1e-05,0.021839,0.545753,0.283796,0.021122,0.545143,0.283132
53,1e-05,0.022213,0.542996,0.282605,0.021445,0.542033,0.281739
54,1e-05,0.02168,0.540679,0.281179,0.021418,0.539265,0.280342
55,1e-05,0.022085,0.537725,0.279905,0.021167,0.536512,0.278839
56,1e-05,0.021967,0.535031,0.278499,0.021633,0.533508,0.277571
57,1e-05,0.021997,0.532667,0.277332,0.021985,0.531409,0.276697
58,1e-05,0.022395,0.529522,0.275958,0.021228,0.528105,0.274666
59,1.0000000000000002e-06,0.021908,0.528548,0.275228,0.021458,0.52712,0.274289
